metric_id,지표명,유형,month,value,sample_size,min_sample,status,이유,구간확장,원천,부분갱신
active_users_product,사용 기준 활성 사용자 수,카운트형,2025-01,472.0,472.0,30.0,구간확장,2025-01은 유효구간(2024-01 ~ 2024-12) 밖이지만 확장 승인으로 계산했습니다.,True,usage_history,False
arpu,고객당 평균 매출,파생형,2025-01,56984.226757369615,441.0,30.0,구간확장,2025-01은 유효구간(2024-07 ~ 2024-12) 밖이지만 확장 승인으로 계산했습니다.,True,customers + usage_history,True
avg_data_usage,평균 데이터 사용량,금액형,2025-01,21.66607999999999,,,구간확장,2025-01은 유효구간(2024-01 ~ 2024-12) 밖이지만 확장 승인으로 계산했습니다.,True,usage_history,False
billed_revenue,청구 매출,금액형,2025-01,27804305.0,,,구간확장,2025-01은 유효구간(2024-01 ~ 2024-12) 밖이지만 확장 승인으로 계산했습니다.,True,usage_history,False
billed_revenue_active,활성 계약 청구 매출,금액형,2025-01,25130044.0,,,구간확장,2025-01은 유효구간(2024-01 ~ 2024-12) 밖이지만 확장 승인으로 계산했습니다.,True,customers + usage_history,True
churn_revenue_loss,이탈 손실 금액,금액형,2025-01,,,,데이터 없음,"2025-01은 유효구간(2024-07 ~ 2024-12) 밖이지만 확장 승인으로 계산했습니다. 조건에 맞는 행이 없어 값이 비었습니다(NULL). 값이 0인 것과 다릅니다. 스테이징 테이블에는 이번에 올린 기간만 들어 있으므로, 다른 기간을 참조하는 조건이면 원본 테이블이 필요합니다.",True,customers + usage_history,True
low_usage_customer_rate,저사용 고객 비율,비율형,2025-01,0.39,500.0,30.0,구간확장,2025-01은 유효구간(2024-01 ~ 2024-12) 밖이지만 확장 승인으로 계산했습니다.,True,usage_history,False
usage_decline_rate_3m,3개월 데이터 사용량 감소율,파생형,2025-01,,,,데이터 없음,"2025-01은 유효구간(2024-04 ~ 2024-12) 밖이지만 확장 승인으로 계산했습니다. 기준 지표 avg_data_usage의 2025-01 또는 2024-10 값이 없습니다. 스테이징 테이블에는 이번에 올린 기간만 있으므로, 과거 달은 원본 테이블에서 읽어야 합니다.",True,usage_history,False
